message,timestamp,severity,tags,attributes
"scheduling build on Metal builder ""builder-jorjlx""",2026-09-15T11:13:47.778012250Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
unpacking archive,2026-09-15T11:13:55.456313499Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":84510720,""duration_ms"":497}"
using build driver railpack-v0.39.0,2026-09-15T11:13:55.550163851Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare railpack-v0.39.0,2026-09-15T11:13:55.760024455Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:67d82202603ac24e033493d472c519ab86be51530472b090438d5427d58e508d"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6"",""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef""]}"
local://prepare-driver,2026-09-15T11:13:55.760027119Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef""}"
local://prepare-context,2026-09-15T11:13:55.760037815Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-15T11:13:55.760038446Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652""}"
local://prepare-driver,2026-09-15T11:13:55.760891596Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef"",""started"":""2026-09-15T11:13:55.759917765Z"",""completed"":""2026-09-15T11:13:55.760042171Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-15T11:13:55.760894510Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-15T11:13:55.759938847Z""}"
local://prepare-context,2026-09-15T11:13:55.761010765Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6"",""started"":""2026-09-15T11:13:55.760103744Z""}"
local://prepare-context,2026-09-15T11:13:55.761032237Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6"",""started"":""2026-09-15T11:13:55.760103744Z"",""completed"":""2026-09-15T11:13:55.760314931Z""}"
local://prepare-driver,2026-09-15T11:13:55.761048391Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef"",""started"":""2026-09-15T11:13:55.760447049Z""}"
local://prepare-context,2026-09-15T11:13:55.761055202Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6359a2d34f6ea2d2023805ad93a21b6dc2bb414bf8d83f4c7ac02da11a52dcf6"",""started"":""2026-09-15T11:13:55.76062775Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-15T11:13:55.978874376Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-15T11:13:55.759938847Z"",""completed"":""2026-09-15T11:13:55.978626234Z""}"
local://prepare-driver,2026-09-15T11:13:55.981720526Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:c6a41db5b4d86566698aa1daf9a79ad439c9b137a4053d3fb2473d93e279dfef"",""started"":""2026-09-15T11:13:55.760447049Z"",""completed"":""2026-09-15T11:13:55.981442299Z""}"
